Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stock_Return_Pct,Borrow_Fee_Pct,Capital_Invested,Lending_Income,Final_Value
NVS,2016-12-28,2017-03-24,64.18,66.64,3.8%,97.7%,58367352.46,10409886.71,70739766.91
PFE,2016-12-29,2017-03-24,30.83,32.26,4.6%,94.5%,55850242.35,9926036.4,67683035.64
XENE,2016-12-30,2017-03-24,7.7,4.65,-39.6%,83.0%,55850242.35,8583386.68,53254581.59
GSK,2017-01-03,2017-03-29,38.84,42.73,10.0%,61.3%,49446904.22,6355745.95,59941858.0
AUPH,2017-01-03,2017-03-29,2.15,7.3,239.5%,91.3%,49446904.22,9456735.94,121525358.31
VRTX,2017-01-03,2017-03-30,74.89,107.29,43.3%,48.9%,49446904.22,5127807.18,71839436.34
REGN,2017-01-03,2017-03-30,379.7,386.18,1.7%,74.8%,49446904.22,7837918.28,58333260.38
SNY,2017-01-03,2017-03-30,41.02,44.85,9.3%,76.3%,49446904.22,7996883.14,61281515.99
CRBP,2017-01-05,2017-03-31,249.0,247.5,-0.6%,116.3%,49163734.87,12025237.5,63146887.47
AZN,2017-01-06,2017-03-31,56.86,62.28,9.5%,110.1%,49079311.05,11232110.11,64049279.59
PFE,2017-01-06,2017-03-31,31.76,32.46,2.2%,61.1%,49079311.05,6232112.18,56011619.31
BMY,2017-01-09,2017-04-05,59.73,53.08,-11.1%,80.0%,49209085.62,8380173.24,52488816.11
BMY,2017-01-09,2017-04-05,59.73,53.08,-11.1%,54.3%,49209085.62,5683888.93,49792531.79
SUPN,2017-01-11,2017-04-07,25.2,31.2,23.8%,113.0%,49209085.62,11828416.14,71088812.01
MRK,2017-01-13,2017-04-07,59.48,60.24,1.3%,109.6%,49209085.62,11198524.57,60919125.09
NBIX,2017-01-17,2017-04-13,40.17,53.39,32.9%,63.9%,49209085.62,6714164.19,71415471.69
PLX,2017-01-18,2017-04-13,4.9,10.5,114.3%,91.1%,49209085.62,9464228.23,98372249.78
RARE,2017-01-24,2017-04-20,70.04,62.04,-11.4%,88.7%,50934432.19,9410146.7,55230047.06
MRK,2017-01-27,2017-04-21,58.92,59.06,0.2%,52.2%,50934432.19,5419567.48,56326583.91
LLY,2017-01-30,2017-04-26,74.7,80.96,8.4%,101.0%,50934432.19,10779403.93,64886442.29
JAZZ,2017-01-30,2017-04-26,119.33,157.75,32.2%,83.2%,50934432.19,8874289.55,72552097.47
REGN,2017-01-31,2017-04-27,359.29,366.62,2.0%,102.3%,50934432.19,10933894.43,62800944.04
SNY,2017-01-31,2017-04-27,40.78,46.91,15.0%,82.4%,50934432.19,8810843.87,66040390.59
BMRN,2017-02-02,2017-04-28,88.38,95.84,8.4%,40.0%,51030199.32,4244933.0,59298448.57
NVS,2017-02-03,2017-04-28,66.21,69.02,4.2%,65.9%,51030199.32,6913952.2,60041450.46
AZN,2017-02-06,2017-05-03,56.18,61.0,8.6%,41.6%,53289768.97,4513577.5,61132097.92
NTRP,2017-02-06,2017-05-03,1160.0,574.0,-50.5%,114.3%,53289768.97,12417008.94,41126009.25
PFE,2017-02-14,2017-05-11,31.07,31.35,0.9%,110.3%,53994841.43,12203510.69,66264098.57
MRK,2017-02-15,2017-05-12,62.18,60.66,-2.4%,106.5%,53994841.43,11796160.22,64874883.18
GSK,2017-02-15,2017-05-12,40.57,43.26,6.6%,64.6%,53994841.43,7153122.01,64142778.42
LLY,2017-02-17,2017-05-12,80.39,80.19,-0.2%,44.6%,53994841.43,4836814.75,58398004.03
CAPR,2017-02-17,2017-05-12,31.1,11.6,-62.7%,110.2%,53994841.43,11946364.07,37305300.63
AZN,2017-02-17,2017-05-12,58.32,68.0,16.6%,115.8%,53994841.43,12544023.55,73683610.27
ARDX,2017-02-17,2017-05-12,13.05,7.45,-42.9%,46.9%,53994841.43,5077199.29,37525926.24
IONS,2017-02-21,2017-05-17,46.2,43.16,-6.6%,78.9%,53994841.43,8742843.13,60171925.73
